count_of_reviews,stars_double,business_id
10,1,MH9F-T-2LH8wsPxJ231qlA
5,1,NLJiHI-7iAr4mAmg5ebCtQ
0,1,NQiCoQa2vdLtyjH4-JxJWQ
6,1,Nzu5LLKyPziTq7w7jVEMiA
10,1,O7VB_oLsg21A-Uv3spbSbg
10,1,OfA_4cHgvlknHMcn0qNs2w
11,1,OrvPhOLNgL25ubxmqyQIgg
6,1,P64yQ329SuZU7R2BG4JyLw
0,1,PW_1TJhhgsXh4d9dfUl02Q
0,1,Q0z9lU0KoZ7YJ0hvq5idgQ
13,1,Q8uwPGFgnvZwtpQRcg6ToQ
2,1,QnDKKgvDaOHawMGhX8i3Fg
140,1,RMSKtVIViSTDERtmoqYacw
8,1,RYMtSv6zhuw-puGKp84-dQ
0,1,SFuQjFNmsvhSxzVb-K3lug
0,1,SLsrU-vQaGfwNDUZSClr9g
9,1,TWNrRCLrgngJoPT6VS4rfg
0,1,Temkj_mJH10aNOsHQp0U7A
17,1,TtGGk2YHmVsa4-P3MmFC1g
0,1,U1NvHvJEJvk74N0_Qd7jFg
0,1,UEwzOcDai-qa_1JY28V4og
0,1,UUYx2Az3DWIcqICo9o0nMw
0,1,UbjcYG4JgLI-UObyJyBBGQ
0,1,UhrREimzDY2iskaCJDVhHw
0,1,V-GSlf_KE5rG3Kf6t7BY2w
67,1,V17qs9-7D_yCs7yf5aQYgg
0,1,VMtdMz6UIYVaU_k2M7E_0A
0,1,W1Oaq9zBBAXf_eIIVjmpzg
26,1,WDO38RfoeFi4HH9A7aKy8g
0,1,Xrv_nVKBRnieMV-gCl5R4g
0,1,XywJHdDfYDnXmMblBvQjew
0,1,Y-X75i2_jf4YVHGUmcvtMw
0,1,Y1fVeKo12cq9rdRtYhlqzA
34,1,YaEQcgMNMuV5XAVcIeTVWQ
0,1,YgEoP9CfQQ0guuBhRDdV0Q
17,1,YpRLIyRLuvGLdARdYSUpGA
8,1,Z-3ZKH9h-Njv1OrpFpY1UA
0,1,ZHlJUCVP7N7oCnN8TnTXVw
0,1,ZwDj2eHZX8zkLoPM8HGfZg
6,1,_PMsFrkRAoBbNPSEi-lJ9g
7,1,_XqrMtVa9VuRRfK99rbU5Q
9,1,_r53GvOyeA9VtFRHA-fQhg
0,1,aOqB3HDY5em0nCDoiFCsjA
0,1,bA8jCeKBVRJIEtC_x86MyA
0,1,cEU9TVD2tjAiHsFn49pYGQ
0,1,cGHArX8IIikb0mpRJxsjCA
0,1,ckFwNJpKvajoFsC6PLq8yA
0,1,cmxezpbkAfUriQ3E0diyBA
0,1,d9rEqGHsZWGQcHF4LEIKAA
7,1,di6dcd18cQlrhicjvjinCQ
0,1,djpAnJCBxO_upjAbhwAWvA
10,1,dzXpDa9gffpXG5Y8tiFdDw
0,1,e1fQV0qXd8wSOzQFa1gnyw
0,1,e9gWzViU4JBeHnL0lMqGWg
0,1,eFvKVt9K2XJFmChMGw3oqA
0,1,eK6_obG2rtINU_ZD-v651A
15,1,eaz18AotYcbr3MU8nIjuxA
20,1,eg-dFBAZ5kedPKtW-jQVug
33,1,emKpJ_RcjDK5blZspbuNpg
0,1,en35R2vag5_KvZBeQDFQkw
0,1,fHuSGC3LgQqe5ewVOBjXWQ
0,1,fnix9MlHFus4v6d7g9aXCA
0,1,g4O_pkOs9x6rKSHJcdiKMg
0,1,gGk8y4FRwDOnggig7EG_PA
0,1,gSsXCZaa3EEgFjMC6wOKrQ
0,1,gX0BHHTooul0zCax45ByJg
39,1,gn0M5xiq0btc142dSd0vOw
6,1,gyAHbL5C5jdrR8y8tzaC5Q
19,1,hMjBwf8z-OdV6mIDU3r9Dg
0,1,i9IA2S6QMXj82UdpEqdkZg
5,1,iWRqWyIk_3l-pgz2ekmFBw
0,1,jcnrkaitHgfjKfuKgRIiBw
0,1,jxsY9juM-doeEzEGNM_8uw
0,1,kacR2t7LkUdM62DvpSLhrw
19,1,kqhHw_9KA30_RYk66mMbJA
12,1,li8HCfNQKcdqwXvcBlrVVQ
0,1,m3fDeA-Zhx4_4FVtV-eDlw
7,1,mDHO-x_AR9W4MzQ1kpa7yg
5,1,mFlNpzZjqs13wytnTLOQOA
0,1,mXpckXCoNqGr_J4rG9Fi9g
0,1,nRLW0LmakcgSbiW2Qygrqg
10,1,nXOKB1sEq0tv-Ox54ju43Q
0,1,nqpxX0XLfCc9UnK7wxuEtA
36,1,pE1HkRO4Sqhl7vHIXcJVdA
17,1,q9V1v3LMZkgf0_DO1JEfZg
19,1,qFXGCo7UoBQK0YYJyF9rEA
8,1,r0CWlF2GacpqtRB3rLvyvQ
0,1,r5FPKoCErwueLyEs_s-2xg
0,1,rNzjV5MrPucScYB2nKwCXg
14,1,rWH2v2Dmuvy8djNu-KxJXg
0,1,sCIgszfOQ2FgLf8B2z-FnQ
25,1,sFN8qmHhOn6quEZfWzs6fg
15,1,tSe7YQcpsabdujdtZJe41Q
0,1,tT76kYt8UMNbv-CIRXIxqA
29,1,tvRHRPRLgcDwUTRoA_N9EA
7,1,u16ok8REFRuLLkVVCuWiuA
0,1,uiwo-rEMHfN18Vx7NGmFQg
27,1,uyapTJ_Ua5wXJMXrqrLu2w
3,1,v8WBnWXvqSQT4Tv6d1hYcA
0,1,vBLKt9x0bh99A5RL4PUv1A
34,1,vO-frP4Cg7DQ9oaDx7xJzQ
3,1,vaujCaxr8s5-v7DjpSYwCQ
5,1,vd8rIx8juLrMg00y4Zd5Ag
6,1,vp3nDuJjRi_6v-oETuGdnw
7,1,vtrk3QvskvrarMBZ1pppIQ
8,1,w4qVflIAbdklzG3mnKmQsg
17,1,xMb-WRReCrzYFUsechldGg
0,1,xeE4V5ckTPktq1PgpkHanQ
0,1,yEOHOVTGzqNksKT7F_Hu0w
7,1,yuuQPuWmSUCkMDNq1x29jg
6,1,yy-S7QeRa3MVPllYEjEvLg
32,1,z-mO5Gyj5qSLZZBRycdZLA
0,1,z8kjh_xNF8RrJ8Lf05LTzQ
0,1,zjWnlUdlzXylXxcKcsUHKw
0,1,zwLiZMZfV1hecRwoOjrkhA
13,1.5,-0xezDAvKicBZpVx9GU3Wg
91,1.5,-1inWc6ACbp-dD270xRqEw
15,1.5,-2outMmpJnEX_lWNjw1-OQ
4,1.5,-68Xf4rOwkeNdkZ1jI8VXw
0,1.5,-A94Xamv_GNef0D1u6-FzQ
0,1.5,-Csq7Wqw0u4tf5Pa1aycng
21,1.5,-CxbIm-SqwKhXwpKV5s_uQ
12,1.5,-FLKsMhFJNCa-wuOm9Mn5Q
0,1.5,-Hu7PC--1dnCtUKjvwITpA
0,1.5,-J8FNCKhePB0tSR59q5bEg
37,1.5,-WHeIMs20PnSxEzzbxqtSw
0,1.5,-Wf_wcSIbHeoCa1bKVQT0Q
0,1.5,-bPvMbCYxEXpglcs-RhnBQ
0,1.5,-lPbwmwui7oKkSEAqqClGg
13,1.5,-n4w0izDQ9FrYMZlFd6FKA
0,1.5,-qMH54qjLVwiU4HnpAJD4g
15,1.5,-vrG9YY2h0ZSNp7U5MmnpA
40,1.5,02PqL5zX-Wtf0-Sm9HLq5A
9,1.5,02Zw7PKeZURBcxpNxT84CA
26,1.5,0P43O4qQTu0b_5vO6XE1yg
0,1.5,0P7EASBjGSz3H1U4fkTTqg
25,1.5,0TtobkyF-lsAALifyvZ49Q
0,1.5,0WBhcs9fQB46zotLG-Q2Qg
52,1.5,0XPrl54yFb4mLsYfyKXzsg
0,1.5,0aPJJ3gUaSyBvJaRZp3TwQ
0,1.5,0kOV6zn_aLdkAY8mLhtXDg
0,1.5,0zOCPkoBsbl30UatRMMCBA
12,1.5,14n6p6CEs9mU39CN9c1Wlw
0,1.5,16aaFTBYAYefQFS7DEDnRA
0,1.5,1KNj8OME-iVO7gv4OQM7NA
6,1.5,1L5f1hHFwfS-f-CF8Bx2Cg
6,1.5,1W9m6f8GXrtpzibXi0FrtQ
14,1.5,1YAaXZjHxvCRjFq9fRIxgQ
20,1.5,1ZAbvoY8zOIxOOggS_kRvg
7,1.5,1_Uf1bIWDH5T1cSod6cw5A
0,1.5,1a5eQi9cbp4R8yFmuKdTcw
0,1.5,1jkINoff8zr6aIH3iysZJQ
0,1.5,1lwYelIgtStAk_St5qJ4yw
0,1.5,1sb68gmZ5-Q64Ohd1tkNPA
0,1.5,1x3CzQ1-ZrxwTMNRzsoYXQ
52,1.5,1xPp8w4Mf09PAXaAklPgAA
0,1.5,2-6Djvc5oVk11L9rj3xZ-A
59,1.5,252DlOgnPandEneK1vykGA
0,1.5,2EVQE7JWqY1vm1h2mMEQ4g
6,1.5,2Jh00O2lu39JJQVi8lcrLg
0,1.5,2MZzE0Bbqa1FMS_oTXU_Rg
7,1.5,2P9pvUdYxEJ621ePxu4J2g
26,1.5,2RGE30oIgzFxarYOYg3Tnw
0,1.5,2UofiXte65UQW89xC1s0hg
30,1.5,2XMNbsYsRG_XyO923Y5kaw
0,1.5,2cLDZ_CcNt1e-MtAv3lSMw
15,1.5,2rj5KnjN7d9yCPKsbf93kA
0,1.5,2xuoI6p7Ot7upUaccfvavw
0,1.5,33AVJK94Jeaggpsmsp7-_g
46,1.5,33ZceobgTIbQCWoKIu29bQ
0,1.5,3GrgtNehn267REBIkpxpng
0,1.5,3JzqjYTvKzi7Fz4wruiLWg
68,1.5,3RNIrmVr4hu4-bxjGPMERg
0,1.5,3THhso-k9-7ru_R8tr4Upg
0,1.5,3V8ifhk67MsbL5WHPgCQ-A
9,1.5,3Vc30lFPDQMEZNwZpGbClg
12,1.5,3_6NGgaYiUcQTwpNd9WgHw
0,1.5,3a8Npl2bUlAmgjXUVG-qQA
0,1.5,3drtgNSvxzPwFS9UPq077g
12,1.5,3erSR_cK0gJFZ1L10Cc9Ow
0,1.5,3p6lfPuR--SAFi2jgvriJw
0,1.5,3vKRC_TbsLlsC5q5UvSskw
5,1.5,3xBbLFVVfd8A_qCg7Sws4A
0,1.5,40f-kic3lacADUo54F7jHA
15,1.5,40mNUpxwf5lLmqYOYGoJuQ
0,1.5,41OWLIzLik9YD-AQetBbHg
35,1.5,41ikR7Es4Opa7tYrGEWC-g
0,1.5,4H4oifLfSK4n-Pb_SKeW9Q
0,1.5,4PXrPVdzb47ZN_NyZnCzig
10,1.5,4UBpIRVtt5LVF8T2mYpkXQ
79,1.5,4W68N2n8Rl-1nbe0--ifkw
0,1.5,4bSswbpDTWI3Aurf4XwOjA
0,1.5,4c1D2-fTsSEgxTE5joQQ4Q
5,1.5,4hy2DiJWk4PvTsETmAZsEA
9,1.5,4k_2wrU4kJ5NurcnYzc-zA
37,1.5,4peQzwUNX7RPCkWKfFHXiw
0,1.5,4qJ0HYnrwWo_LQDJKI-ANw
43,1.5,5-d1ldERKs0Thpwj7C5vFQ
0,1.5,59-X2TNSKWDswHjFRWetlg
1,1.5,5BFVXCKwybivSUE5uIBq-Q
14,1.5,5EjRE1RQMp5LgAMiIRmk4Q
0,1.5,5HPcbJXR011qTsD6pslV3g
7,1.5,5Id93JEOpdgzl6SvtIflmQ
0,1.5,5SJuzmHM92ln84dPbyHi4A
0,1.5,5SWfawtEM_l2zz-XJyqDCg
0,1.5,5Wg2MoDPo7cZNa7suuYA6g
0,1.5,5XdHjI4VAwinmJRpFuQrVQ
0,1.5,5aTiXmj8-Z564eRD9YO3gQ
12,1.5,5bTtEPuFVmHd_jguJmwdmA
14,1.5,5oK7ydxjDS1j3qaHp977Jg
6,1.5,5oqABvpjun6-4nANUEk5wQ
11,1.5,5rli2W5NKvvo2801x97kYQ
9,1.5,5ssbxF_VTMU73YHGawbW6w
16,1.5,5uCx8KIkYO93DQjZc0rjXg
11,1.5,5uZx5WCcS2Pr0oO-zkLGAw
40,1.5,5u_zrx0HcyBWxAp1r_5ilw
0,1.5,5vWklX45KjyjOEFbWxVI_g
7,1.5,65u_cNJ_d8DI0m8H3mQTDw
34,1.5,67YyY0CYMstt9SDUtvqHRQ
0,1.5,6CeFSDzsseDF96wbwfWX5g
0,1.5,6Id8x6nKtsRjFBfdxj2DdA
0,1.5,6Nj_P4F9DWuJJkYWSF2_Tg
70,1.5,6Pur9QihVGNMKYMlU4x7zA
9,1.5,6RfgI4HVqL67CZMbiRGTJw
28,1.5,6TKL2mgMonmXcA4bzBkdtA
0,1.5,6ccGORaoIAR_2CZoa8iFLw
57,1.5,6dJDGQIntge-HbW7jLBcrg
0,1.5,6fLwghDJLo-cXzk2tOE0wg
7,1.5,6oVWweRTZDhpEmbCOUGP6Q
0,1.5,6olCle9EZBHRPabGZs4y6Q
10,1.5,6pUa8jLwwC9IIH5t9FyeRA
20,1.5,6pf9v3M7cqyO-lBQtfq8uQ
29,1.5,6vYL0UDABJEsg_iKFe1k-g
0,1.5,6zuozyVB73h_5qoklBK8tA
8,1.5,764DuPrKkq_9W-ugAq1dbQ
14,1.5,77dpU18_2PEPzQgIpeH3Wg
0,1.5,7DQD_MCX6SEzPwa8ATbF0A
0,1.5,7GTHn2SBneV7Hfxn2P04Gg
12,1.5,7GsJFZAYJsj5oYZCFA3ikg
0,1.5,7M4v1ciEPAPw9fhnNem4kQ
0,1.5,7MCQRYsZAhNCyFuGHQe4yg
7,1.5,7R0Yb2uCE15PVD3aF1x11g
5,1.5,7T8XhdL4xJ2B_CcsJ8BUpQ
9,1.5,7YCmnJP40wt5Soofxm54pw
0,1.5,7eBVcGYfLbH5kpsoIS59oA
42,1.5,7k8R9BqTJwOAjtcWM-c32Q
32,1.5,7nSngw3KoJ7_rCvSyiM0mA
24,1.5,7q_0ZFOzVdVaShWk0zzKcw
13,1.5,7u0pqDyMhpVocxJSk1M3Yw
9,1.5,7vyyvzPRed-gC5cl6nb8Tw
0,1.5,7xbuCXHo9IPkA20HB2WcfQ
22,1.5,7yuDSUvO2mICCrj36GVxtw
20,1.5,81FXyOGVCVljnWr_bXs4Vg
5,1.5,82v8WWeXU8JhCV7VPz58hw
61,1.5,83RrdXOzgKE8jF2owrbpmg
0,1.5,84yFFbWnTtHoKeAKEy8fGA
0,1.5,8CSftoaEXPV4odDjD48cxg
8,1.5,8DwAV1sQUy9PP1y_2wi0qw
22,1.5,8TCOZ_X4TOt2lCl5UcIGGg
10,1.5,8VipMPAQ-LFjcuas28EKew
13,1.5,8bH2pyhAHeQ8PTIHER_Hhw
0,1.5,8bu0p7KSEg4PxYtprKvMZA
0,1.5,8gRPKHkyNLKhLlND5TFlgA
0,1.5,8gRhKXf_J3QPfeW2ZwONOA
20,1.5,8hYpKmy1SQrnX8zciYSTvA
0,1.5,8m5diCok8LZeXFEW-sRiKw
0,1.5,8tBkkwOBn_KtOWYB1tOS6w
0,1.5,8uE-pkpxtPu2jnZfBXywCw
16,1.5,8yzQTvTr2uFUzoBGyEWh8w
0,1.5,8z3lst9OdWQOcJ54_R3K-A
0,1.5,930WurRpSF3pFNWADw7gMA
13,1.5,9GWLWvgwkdFx5UDzekGZEA
9,1.5,9LziWvL3bC9kEQTgf3Hcxg
16,1.5,9P8bSxVy2STeOlZQ-JVuDA
0,1.5,9YFoy5wtSadKTp82bVenWg
0,1.5,9ZxJvn7JGRzddwtGRARHvw
37,1.5,9o1auw0eWnciPxQkalMy1Q
85,1.5,9oFoOCTUsube8Tmi4YDQEA
10,1.5,9vICKr25A3YG88Zr1wxDiQ
0,1.5,A-4qrgKVBXCzbKu1jeDYIw
0,1.5,A3hG4R-tlV4PRFB5bkW-gQ
14,1.5,A41cf7REF2jQ7xEmUpoNpw
0,1.5,A7urLJeiYkVjEk9hJtx20Q
49,1.5,AFOTJPjFqhC2JKK20BlOvQ
0,1.5,AH9GmW7mUFL9A5rnFOnABg
0,1.5,ANiS2Oy4UuhiKrUeRjjnHw
2,1.5,ARwKmutuWXShn9XHiIrrxQ
19,1.5,AUCddckKtw_GNdugTWkJwA
0,1.5,AVw0R50nWqaUEaFpWl4Bpw
128,1.5,AZU2Dwlm-kcAnBhmt9pWDw
65,1.5,AfdJ_eAIX-wku97dUwlfIQ
0,1.5,AmO80QLpmNLGhyv1RLw64A
0,1.5,AoPLJjyz9a9qVbIO3IzqLQ
0,1.5,AqdjwJJEFYZNQ401z2CoZg
9,1.5,AsJj-6Ntsw1DTORGO7tDQg
0,1.5,AvDh1_loQ7Oh1r6yuTkw6w
0,1.5,B5HdhA5VUpjwm2fRCYbAXg
34,1.5,B6Q4PmKkfM8RcuFqz4pREg
7,1.5,BAXsTp9Z65ULp7LSffUNQg
0,1.5,BIwHrjCBFo6OJ0Af1vz2kw
0,1.5,BUgvZBZg9vJDu6Euhwn0BQ
12,1.5,BZi2RZv6au6g8FMwInubTw
0,1.5,BgFdzUvrvjkiA3p4_lUhlg
6,1.5,BgbvQ3rPvahRTi8qs-Fnlw
0,1.5,BgmYSr5YFUxIL8vsLwmsJA
0,1.5,Bgs687chJIkvaHmyh-GmQQ
0,1.5,BnYNysaehEZ9o4Na48jr2A
0,1.5,BoE4DmZDSPQSAV14yTBKjg
0,1.5,Boi0oR27lLjkhMeYqeaPVQ
162,1.5,BopfAeAYy8e9_Zxj60m9AA
0,1.5,BrLMFsE85g9lIioZFfg3iQ
0,1.5,C1lq5o-jVFEgZNggMSPQwg
7,1.5,C4Vzwc1KZefwVZ9BbO5RqA
0,1.5,C6VQMQzBaueiuBKYDu9tSw
61,1.5,C93DS672e0YfllgXuDvyDQ
5,1.5,CC2zP7mKdXLP25bXHkRt2A
49,1.5,CO0w4V8M-bR0oMp8lTTL5A
7,1.5,COrMn-fZ_MaQwP2xkGvwXw
0,1.5,CSp5CL6Rx8jVIJ-FmHC8Kw
0,1.5,CT_hDFmCt6YdGtOLIR4ABg
67,1.5,CZvSMpdpeW4tXbl9cUUHyw
34,1.5,Cal1M9K6LMSWlpqgGr-ZiQ
0,1.5,CeJHnBxTVggx1T9Tccr7TQ
0,1.5,ChI-58FMmUrOIibf3Ae19g
0,1.5,ChyW2devfr7GUjQBay4p5w
5,1.5,CqBqy8yjrHnQe3JnAVOMfg
5,1.5,Cu2nnGmYbhuAGMKGUQsd4Q
5,1.5,CyIi6Sry9WRUn1EqcD92-Q
0,1.5,D2n9uStz4Sm4LubgllK6HQ
0,1.5,D9v9L4R5rApP-iVD1hcljg
0,1.5,DAe26UI1BErkByp_PtU3og
39,1.5,DBLNc0H8ru33Q7FoUCPT1A
15,1.5,DIrHnPhWMTvGY2D8lS39Pw
9,1.5,DM6LYI5x9F1cKifpEFLJ-w
0,1.5,DQ7MSK5ocsvJdCUN8ZrPfw
10,1.5,DVeN4_xgq05DHuI0kLTRcA
42,1.5,DXLo5Mf0j05aZCSxzdgpEg
0,1.5,DafLLYtPGsW-bBM9eGNjfw
14,1.5,DiXIyZ_KYcSWPmcaJzKAuA
6,1.5,DrEMFfzJIwsGZHl1AqKLrw
22,1.5,DrOHOtbOlMPZAtWOJlJnaA
28,1.5,Drti0XcAH7iLZiw5kHkxWA
0,1.5,DuD_MM-yuL31cakAhBBaLw
10,1.5,Dx4gAIHxCMthMYIsHZgp_w
39,1.5,Dz3GF5EvC3kzM-Jf_nLCDw
26,1.5,DzoA4WmoAMKLo4rrxNfRVQ
0,1.5,E-V6ZiYIu3iSVNefcJJvag
22,1.5,E0BmaHkHfi8bd5TfZ75r_w
0,1.5,EDfTisO3WbVHamta_maVxw
33,1.5,EEASyy-TwGE__-QzmMPMdg
35,1.5,EKgvGpDEBmBgRwl22dRrvg
0,1.5,EOrm1lfVzSRjYa0WhNWALw
0,1.5,EZDzFD7EHT88FXY1Q0O28w
10,1.5,EZmYeVjUjCDSLHMe8Lwuig
84,1.5,E_m4O8ypZfAjF6YNNjBXGg
0,1.5,Ea5zVXvC4fHbCE6rCbEjrA
0,1.5,Eb9C-3sNPKyI1tj93lXpfw
0,1.5,EbrsSV78fsx41kklbMOWjA
0,1.5,Eh4rQbIgUmz7Z6-uEG5tsg
12,1.5,EiVdHnCuFphJ0f6ZE5HqBw
5,1.5,EpT0ULsjK-057eexyAM_nA
5,1.5,Ep_dy0To0znUSvsluDvTqg
1,1.5,EulYqnOWGk1lYLhGI4U5Qw
8,1.5,EzmyPS3146HoNID3vEiexA
0,1.5,F1Fuh9Q67KL2dtb6Ny4ywg
40,1.5,F7tj9dFlb32gtuukk1E32g
23,1.5,F8EleBMF9OYqUPpfaPWqkg
0,1.5,F9ZBaUDVdbD30RppiATXkw
0,1.5,F9_uYZowslaKYj7eeEiUZA
18,1.5,FEbQq4foL5wvRlnajh9soA
19,1.5,FEqXdPjcbE5tTTPWHnwtkw
0,1.5,FKdH4oS_JEkgXCVH5QsRQw
0,1.5,FLwwLzqayyNd6yHF0SlewA
0,1.5,FPBdwHzi8EXBeOFZj6isFQ
10,1.5,FQFyZzystG54e0wl6SEOwA
22,1.5,FRwf9SuEI_4qQs5HBniA-w
0,1.5,FTyrshiJ04Zp8KlEtPkqGw
28,1.5,FcHbhk2yY1nqlMUpI6QEog
0,1.5,FdUSMvKQ3mYudggXfX7xng
27,1.5,FdWVf8TtAEgxq7lFMYkbww
60,1.5,FfdeektRyavsPjz9EfAALg
0,1.5,FgmetWZGunOfA_1bbbQivg
0,1.5,FhWjECwpUN7UXkUyWbpRtg
23,1.5,FiLId-IXrwzmpLfJ7rVj4w
237,1.5,FkRWLp4muU81gx_lVadxzw
0,1.5,FoCDxm5kxCm-YqKHRenxgw
0,1.5,FsFRTyYnVjFd9jBnUt74GQ
8,1.5,FshDOi6T-Ubt9AxEifsq2g
0,1.5,FvQHSlM_iJNVCFmA1SzwEQ
0,1.5,GHiNcI3tlsCkBoNnuJQ72g
0,1.5,GLHa2PtTm9wL_cUvEYxkHQ
0,1.5,GXj7PByEUvD5xb4Zv9pj9A
0,1.5,GZaXyyc6Fx5vcXzcaHMgRg
0,1.5,G_izZnXHlCrwqMaCDJtgnw
0,1.5,GbHMrK3SNJ3ich29y_sAJw
10,1.5,GeMndPTfaSF1eZUdIkFGIQ
0,1.5,Gg1jgbHgREMZDYCTZxAjSA
0,1.5,GlbuMWQK5oIwXd9EE93iBA
10,1.5,GmrBzyJM1_mVf_azDrLwFw
0,1.5,GqL9zhMHkQExlK_pw4GOVA
0,1.5,GrshZknrydutooD2tQkcFA
0,1.5,GvqwfXsgpPGeLcgOOv02GA
6,1.5,H-sSixzqFrfPLpydfCIamg
53,1.5,H3JSxaicILx_ek3IaksjzQ
18,1.5,H3R80F9BO_EwZjisBpwtkw
8,1.5,H6hls_sD4JHBByGcwlxgcA
67,1.5,H6iNisGlguy8qp2kkc1dDQ
48,1.5,HAffFEwy_UOGIExxWcsELg
0,1.5,HAoTpJpkwlqKwfi0G28DXg
0,1.5,HL2vulgizA6zyECF68CeIA
5,1.5,HMKhAywN9oGwKQzXGe1V8Q
7,1.5,HV6HhzpwKcJz41eyajV82A
0,1.5,HZEH4yGeM8tl7pVtTtomIA
0,1.5,HdymY6YBBlCNNivqJn0KlA
10,1.5,HfQRb4Nv1_iy83660UmHCA
0,1.5,Hiwqef1-f8OBAuOv5hu24A
0,1.5,HpBvKLY5Ut48r-ByjuIT0g
0,1.5,HpPr_NDQ4M0jWEYk7SYeUA
18,1.5,I6o1Yo9VFfl19OUv31uEsA
106,1.5,I8rcWLpL0lnYdn-W9lypgg
0,1.5,IGQ3evec35m-5nVsT-WrEA
0,1.5,IUDRvjX9gzMYm9D7TGR2Zw
0,1.5,IWRuceO5N4-xYZwJFKUhIQ
45,1.5,IdCCStQK20ELzx8wDCYbWA
9,1.5,Ieelu69Y23nbjKG3OGfwnw
11,1.5,Ieuu-wzfVMfoFP4EVhOEQQ
14,1.5,IkVzBNUxSooLuxoWx307ng
8,1.5,In4lyWPrSUxA7o3dJWG84g
50,1.5,IpNJfLJ6R3RjZJF_ucGaZA
0,1.5,Ivy0TCcDxCQYNcT6WgMb8Q
11,1.5,IwSwicOtwrwKGI0lvqbyGA
16,1.5,IyRiKf0nZMejNT6rEYKvZQ
26,1.5,J12ox2JmvZzmvPQk2aViyw
0,1.5,J3AuT-KTGYS951H1x1D8dg
4,1.5,J3a6sldLoUpGlbco6JOmig
14,1.5,J4UHFCIPDM__AkyVn78XeA
0,1.5,J83W4af1L5cQX8BnpG185w
17,1.5,J8Vz2HxIYzSgfWw_TSbScg
0,1.5,JKHcynqjGsGFIsbqcwOjfA
0,1.5,JL2wDhfUxBsxxJHbPtZ27A
0,1.5,JUMIp1q_9UhsUiLrEYjBuQ
45,1.5,JVq5Y44b2R3CXP6VEg4Gxg
