business_id,restaurantspricerange,income_range
4SQgiCqzEuzZPVBv4hzMGA,1,>600k and <700k
1m24sCgIRmzaQU1WhQ9eWA,3,>600k and <700k
DRpPGuABH92ttH2Mb5NZ5g,2,>600k and <700k
Lc-xdK-M-BiXZ1Nt965cmA,2,>600k and <700k
rbVRTvHtCrdpyyyq_qYeqw,1,>600k and <700k
NX19BZuBNK-lZey8NoH0bA,3,>600k and <700k
20znyS_wba0KUlbLtibdHQ,2,>600k and <700k
si6zIIXHLMZkdkCSRPWfzA,2,>600k and <700k
Dac4EoVIEJSA1jJaBb90hg,2,>600k and <700k
XWzRWho0ASPdoojAGDEB7g,1,>600k and <700k
GoSabVesShIYhktvZjYV5w,2,>600k and <700k
yPyBPFQVo74I9OTrCL8xAQ,1,>600k and <700k
FSvulYLNy3tpOgpVNd4fhQ,2,>600k and <700k
u9Vy8cbaBQeO7z9VKxoyLw,2,>600k and <700k
sCteVYTONlIUOa1EMmfZdg,1,>600k and <700k
7l4W45Y7BwJpD2sytYNXgQ,4,>600k and <700k
kERJnXQjD31MS0z86-Ry7Q,2,>600k and <700k
7z13traHcCfmar2-F_KA1A,2,>600k and <700k
KfMtlPifyJfbSAYdpQfvXg,1,>600k and <700k
DmtPWnRPEvnwVmMlvcahzA,2,<200k
44aayUeim_2FlnmEMwy7zg,2,>600k and <700k
zInwVyjeWmQKSnCpIRzhcw,2,>600k and <700k
GNy7MSsyyDAo5f3RowmRyw,2,>600k and <700k
LBRLYS-mKA1RP-HfeE7Fnw,2,>600k and <700k
GSf8e_Jc4nNMkUSEtdlcFQ,3,>600k and <700k
j2pQ0Jm-iI0DbACT__IMLA,2,>600k and <700k
vY7Xbb6K21yYDuDvi7djAg,3,>600k and <700k
NyaFWcHkX3hiAlI-oS-5mg,3,>600k and <700k
SVNkzkyiEnozlhyEvehLdg,2,>600k and <700k
CZXrdxJsQtrSS41A7IVDWQ,2,>600k and <700k
lNF47qQFkXigPTYUZa6oFw,2,>600k and <700k
JFJX1Ll0OuaztTZd0ITHYQ,2,>600k and <700k
c_zJ4-P-WFC7QxxcQnu3fQ,3,>600k and <700k
b6AVkVXllteg7-U041zPFA,2,>600k and <700k
jfgO-kZE1eBhQxD-VQYamw,2,>600k and <700k
YAfSdB0IFLI2kPodj_6Qlg,1,>600k and <700k
7r44c8dmqmiqrld3m0Eafw,1,>600k and <700k
qPWL2ycccDEBNsmfkX5ZQA,1,>600k and <700k
J94ix1CGaPR1yCjykc75Jg,Not Available,>600k and <700k
GFWOgt38UZ7fH6wUGU21wQ,2,>600k and <700k
lLJtC-G6X7nzIDFvLPgilQ,2,>600k and <700k
-kah9M8Zd7HuWSA9mkQxsg,Not Available,>600k and <700k
ESzzi4v-dbHQIGCcxNyuMw,2,>600k and <700k
iT1BEwaFSmXlWN6Xh8R6XA,2,>600k and <700k
khFOMbs44iAAT5YGGovrOg,1,>600k and <700k
ILhr2dgRMv6cWpG6dKY2nA,2,>600k and <700k
p9L1lOZ1y93sOzsbl_n63Q,2,>600k and <700k
hr-gsnjSHH9yua-nRbEcGg,3,>600k and <700k
i10rl-5QKV4M5lWCk9Z0Ew,2,>600k and <700k
X8wPkCpkpUs7pAmg4b88XA,1,>600k and <700k
X3mFPR7aEh9-q-WQ_2Zw5Q,2,>600k and <700k
Z4bjV12cY-T4pDy_jz5uxA,3,>600k and <700k
1qRhZCpunK_DqVDQzOm5DQ,1,>600k and <700k
bCboJRI-rzHaP_NT3l5leQ,2,>600k and <700k
2DwLdCOxZBnQeJgKR-i5AA,2,>600k and <700k
_BRrDd8eO_CLjTys8KFZVg,3,>600k and <700k
pOXNtTJKmBVfkravtYsZCw,2,>600k and <700k
fRsOfRKoTu6JixBfeS869g,2,>600k and <700k
q9s0qz4VdwwLhcRiMIyZjw,1,>600k and <700k
lT_6D1KeunYNTbmjzL28aQ,2,>600k and <700k
Wvy5OzEtnhD6zFClI9p54Q,1,>600k and <700k
mw5B_eJMyXgp61Tlu_T6TQ,1,>600k and <700k
YojGEEWJ4ZZdoHw9p2YY-g,2,>600k and <700k
g6mlwTxavyFWJfT8ccCpBg,1,>600k and <700k
QjrLrpB73pnFIk2VEEgeFQ,2,>600k and <700k
qY1OhJ-Csd5Iox5h54JHyA,2,>600k and <700k
95VmyEI4IbRUvCr6A7cRiA,1,>600k and <700k
xExVdEyfCHIQ7xEUL-NMkg,2,>600k and <700k
EOhp_InSZ1Z9oTbvsFxnGw,1,>600k and <700k
Jo7nVyHHqX-IoWYBjpGNuQ,2,>600k and <700k
mm-XWRPGaT7BsS31zluDag,2,>600k and <700k
0kCsKBkKB0wP9APDfDCpWA,2,>600k and <700k
CDmBklDDaC6sYsBfsL4Teg,2,>600k and <700k
ZRGMZ7EmyfVcKnDTIt02ZQ,2,>600k and <700k
i7tb3bqd-JXlhTNiPsNO5g,1,>600k and <700k
Mbg0ffdui-UUkTanQrfzBg,1,>600k and <700k
P1g55D5X7G_ffiJ_VdCKTg,2,>600k and <700k
5i28FygU1HM05YtwYV1BqA,1,>600k and <700k
zQq53_v1B93pXmZnW3OKGQ,2,>600k and <700k
zOmwOIBPkCsQiB5h0jzTig,1,>600k and <700k
9toNDg4hll7uep2KhwbwxA,2,>600k and <700k
zGHik4SQUGR8iEAeEt28XQ,2,>600k and <700k
WLUtB6dUhP616jGFXA3YKA,2,>600k and <700k
jRpEdkkBWIvvzNsJPmAUSA,1,>600k and <700k
-XQiChZcf5PMsBGl0R_msQ,2,>600k and <700k
lNSkba_B8yrvpEuHAi7mXw,2,>600k and <700k
0tYRzwFJV7WZJs3FMf6uaQ,2,>600k and <700k
o5sbOfEb3KCq7V1I-IkC4Q,2,>600k and <700k
7K8GyyQtaB8-yv5PLnpigA,1,>600k and <700k
EexSBVsR_N0LVVXkg17Z8g,2,>600k and <700k
HL4s9I_kt877Dk_6RKsjLw,1,>600k and <700k
bciazF_t78j9oplGI1Cpbw,3,>600k and <700k
Izb80BN8Qtp4QWmSFA__aA,3,>600k and <700k
8PR8KhsywWUU1e95pF2SXQ,2,>600k and <700k
1-I7xG75eXQAIwNaoUcf_Q,Not Available,>600k and <700k
_bmZ-4bageGmh4gsvaeeOA,2,>600k and <700k
8XI8MDIVaJZ-m-r9oGWvNw,2,>600k and <700k
ELQQ7GJXdWqUbuDqVAe6pw,2,>600k and <700k
mpPfw_TdrBhI5ZFVu4lHvA,2,>600k and <700k
IfUap3l-UVc7-FH_j8wPFw,1,>600k and <700k
6Vu3RyO_4AU1FjcdAkdcQA,2,>600k and <700k
ZI5ILT2br3V4bwggBfIa3Q,2,>600k and <700k
PT-WyYVK-GKeVG2lQ0alPQ,2,>600k and <700k
QZyDsHIT5VuYALfIM2nlOQ,2,>600k and <700k
sNLtlspv8bQgZ0ovJFWyuQ,3,>600k and <700k
NY_movyZ6aOwZyODtlG-CQ,1,>600k and <700k
h1p9IZaKTkH8yFou2COqSg,3,>600k and <700k
H8_TO5vw4R9zsZOZy9CxfQ,2,>600k and <700k
25LfXIYeS3H6NMkzKmWUeg,1,>600k and <700k
wyirXVQZpSid8PVOv2hfDA,2,>600k and <700k
oGoJ5e53HLdaC7HIuac79Q,2,>600k and <700k
znEGTav2xumlrJ_FuoN4Mw,2,>600k and <700k
WWAS_b42q01q6wNIFwUl3g,2,>600k and <700k
6oYFWlTblWV_8w6Rwyw_cw,1,>600k and <700k
QauKALZyyaNj9SO6RKiY1Q,1,>600k and <700k
7gTAyT44CCzc6dfLyTP-xw,2,>600k and <700k
XbhM7IXOwY3uyv4vOW-c4w,2,>600k and <700k
mbZ05PWBjga4XZnzZxpaFw,2,>600k and <700k
4F3om8xr3JD1kQwdg4Ftmw,2,>600k and <700k
5ON_5GZBllK1BWgn4FLIeg,2,>600k and <700k
fcuoEUQXoX7F1QNlVnazGQ,2,>600k and <700k
jYsQuuQSdWrqNJomCMoe9g,3,>600k and <700k
v7SeEO1M54Gj3qwiBadwNg,2,>600k and <700k
Ji0hgf935ebziRflD1kd8g,2,>600k and <700k
i6tYcwgNzFN76rd6aUO37g,2,>600k and <700k
a689zUoY6xG491-EDU5PUg,2,>600k and <700k
8tN6NTuVKx_E0hUPk9xZCg,Not Available,>600k and <700k
48g2LxYES0InOPchdn4iZw,2,>600k and <700k
r1Z4AId4yteQzjNy4f0n3g,2,>600k and <700k
ykdqm3IOFeL1g4lOk_EQQw,2,>600k and <700k
k3iG48juwthCIvgrVDtAlQ,2,>600k and <700k
gCuM6zBZO2DhY_-2z6Bi3g,Not Available,>600k and <700k
_gsfaTMjyIisUBO56BTQ4w,2,>600k and <700k
VhiEkTy-egjpceeR_uDJKw,1,>600k and <700k
WiKoxj5mNdFcyHd0SNIU0g,1,>600k and <700k
qreH4BLueGlF913H_fSY0Q,2,>600k and <700k
A9M9J67qmBuMp6I1Px_4_w,2,>600k and <700k
yVJ_JsP3mfmgNXrQdm6nEw,2,>600k and <700k
uJ_l2hWkH0GpubVS__s6xA,1,>600k and <700k
uuRR6UcHPDD29JoAyrcKWA,3,>600k and <700k
pOgi4YEQIqaL-BNR7qnIVA,2,>600k and <700k
gw5ExBEUXPgh9OVmCxbFIA,Not Available,>600k and <700k
nZ-CHVoVetzKzIIoGu7TGg,2,>600k and <700k
V1KLuipUOE9SwZpo-BgsOw,2,>600k and <700k
2s0oybwBCw_rM0wPeKO9uw,1,>600k and <700k
qXn5E2JCrFMDqdJMn0aCsA,Not Available,>600k and <700k
kT7PhHbF7QyeKDJCOH2TFg,Not Available,>600k and <700k
BpyMTC_c8csEFjKnatRvlQ,2,>600k and <700k
0TggEd2m4fFzrtlW9j9f_Q,1,>600k and <700k
eTVWYxgsXcPR4ERcehIo-g,2,>600k and <700k
296PQjZoUisWZnJq-7ny8w,2,>600k and <700k
n14JF3VY9gqruLjOsRdWZg,1,>600k and <700k
vj2WIDOcc60wbDZPpukVrg,1,>600k and <700k
uMOrnl5NFzpC7S2Po-Azkw,Not Available,>600k and <700k
Pb_adoUj5yHBkwR3sxAdiA,1,>600k and <700k
GPRK8YsMzly8f5P0RunMaw,3,>600k and <700k
PTCZKvLwwR_Bhje5qir-dQ,1,>600k and <700k
9Su325kUCQ1ZglXS-G_7ZA,2,>600k and <700k
RLr8Tdngsc4VtgHoouApVw,2,>600k and <700k
0rdw33lxKmng4bQccqqc7w,2,>600k and <700k
zNLqOk_ZamwoIqGGogRZbw,Not Available,>600k and <700k
7VlZ5M59XM_T59QmmkWqZA,2,>600k and <700k
QbihypLaFf0oX3_sni3Eqw,2,>600k and <700k
yIFspwaxDkZlnaPOQhegYQ,Not Available,>600k and <700k
QWzYxpXRuEy0Yc8qcRUhQw,Not Available,>600k and <700k
tfdIB3AlviYKVYguaT1S8g,2,>600k and <700k
ORcyG-_qvmZmCDXVQnaWIg,2,>600k and <700k
qXbyChxRZLcvKyTsFUEJrw,3,>600k and <700k
PeGH2R0H6Nutjc6dGTTaWg,2,>600k and <700k
l3yNxm2OrVs9GEUvLEfaaQ,2,>600k and <700k
QRbcOhAFa3pcqDGWkVSDlQ,2,>600k and <700k
zVzFD6VB2gUnMmSRU6aJbQ,1,>600k and <700k
BgCsXy5--BK2U9YJdruIRQ,Not Available,>600k and <700k
96pV5ujJ6YBkhJzPXLXRSw,1,>600k and <700k
rCyFqmu5CLom1YpvsbdV9Q,2,>600k and <700k
seC9cfU7It8mbczK442HAw,2,>600k and <700k
ChxEiZaBedw5sXYI29yyEQ,2,>600k and <700k
gJ8SVWX6msFFjj4yiRoxMA,2,>600k and <700k
0TgdDOP__tl8Kx1hc8walw,2,>600k and <700k
V4CdF1UpqUU1U7MmJsDpcQ,1,>600k and <700k
nulXqH8i7eQcMJSVwRsCsg,1,>600k and <700k
Yo8ntVA6NqZox2uShcHFIg,3,>600k and <700k
BuNNizBTbpRwXxvYYqNwYw,2,>600k and <700k
AKLWhgbOImjNwYkThWkM9w,2,>600k and <700k
cC2U-mBeWYOYfvt662aGYA,2,>600k and <700k
9Fn3aYPyvcBaoG_pxjeiBg,2,>600k and <700k
u4--zVCrZuvWn4DahKPsQg,1,>600k and <700k
mtc2scxRhoGYtMpoJmVxLg,2,>600k and <700k
cfhusdvfeEOIz6uOdRl75A,Not Available,>600k and <700k
zwBc2nx16KF3p-IBubmLlA,1,>600k and <700k
AyUGGeNJfRjmH44oUaqmQQ,1,>600k and <700k
89vuE7Q_TiEjsBbrznoFlA,3,>600k and <700k
od7efh5nEEoSptUZUerR4Q,1,>600k and <700k
WG0RtD5qo6_84XVhWhiSFA,1,>600k and <700k
j_9slVyU0p5_imf9CqHoJw,2,>600k and <700k
38zr7j5XtX3_stYQm-Yqfg,1,>600k and <700k
jhbc4IHFDdxqY7qd1zpAIw,3,>600k and <700k
bRGkwKjBKrQIgDgkK9RkQA,4,>600k and <700k
SI0R_Fw7kFc_2bO_SX2rqw,3,>600k and <700k
9Bt9MMtmjPB6IykEMrFB7A,2,>600k and <700k
oLGXjl9m_04UNkQt7sTtnQ,Not Available,>200k and <300k
47n16HJGImCJlwkx0bdkSA,1,>600k and <700k
H251uI2_rKVHlK4WcyJ_og,2,>600k and <700k
TA_LPAs0usq4qPZ_2RtSew,1,>600k and <700k
N69EMeY_yOQ1GJKvi3yuwQ,2,>600k and <700k
15Vv8Qu-s88jdo4bOCqcow,2,>600k and <700k
sHHBtSWOBU8ifxe0IzXEXw,1,>600k and <700k
h4ap6lia5kEqQBOL5epMTQ,2,>600k and <700k
aYdlDbUNw5ekyAOx2Y2IlQ,1,>600k and <700k
EJpI3rG1b6ensd_m3Rfg_w,1,>600k and <700k
djEgtC3NHk20AMQd_Dr2gA,2,>600k and <700k
OBBAsx2lhJD5OiVYyKNkVA,2,>600k and <700k
XcW4QCefnrnvVU6UEYNqRQ,2,>600k and <700k
y1kmrgOOh5be-lUMqwqUrg,2,>600k and <700k
z4ILLEBm3lQyzA73JEpvxg,1,>600k and <700k
eC2V7rxoCANbm0PnrtfZQQ,2,>600k and <700k
mVkleKlvkNyhiK794Numxw,1,>600k and <700k
bwumyE4f2TOSd1urt621xQ,1,>600k and <700k
2ljjKlzb_Ir0HsP-2wVuCA,2,>600k and <700k
-8UEMO1vJSyC4LE5F783Xw,2,>600k and <700k
EKgvGpDEBmBgRwl22dRrvg,Not Available,>600k and <700k
StlIX6OYuxyCPJU9cSpRpA,1,>600k and <700k
FBX--Prm93_wcTa8KAUUCw,2,>600k and <700k
GVYXV8mrgy4C3cNBAghGeA,1,>600k and <700k
UZ6NWpy2sJ4_s78sFRSc6g,2,>600k and <700k
4Y3BvnSfeF3zFdup4WwKhQ,Not Available,>600k and <700k
qAptkJzco52JLXsxwKngrA,2,>600k and <700k
5BeejJKClOLDlF7qDStTUQ,2,>600k and <700k
AnQ9_QGN5OzCYt3_o1i0lg,1,>600k and <700k
uOMmrwwtEjkIGjV7WRKyUA,1,>600k and <700k
7S_YG0uldGzJ79MSWD9Bqw,1,>600k and <700k
nN2pQGCoIiE-NoFjZOzVbg,1,>600k and <700k
O6c-p8ATXJPJanKrNRKtGw,1,>600k and <700k
JQ-oaY3JpMI_v6Zp0Qm_3A,2,>600k and <700k
TFEKIltMfZkoSewOOKVvQQ,1,>600k and <700k
0EL0KZkAsoC30Im-j1Nw7Q,2,>600k and <700k
R9s-OJfhHnyL6lkmmmzaqg,1,>600k and <700k
RUpv5KErm87G1Hh1_uxXQA,1,>600k and <700k
XdndAcwgb_Id3ukOhiD3Bw,2,>600k and <700k
wwuP3opKO8CFUKlHtIxyPg,2,>600k and <700k
hEyhLCJOf5ezw2tGNLzuQg,2,>600k and <700k
k8o59sewi6DUSFGxlwA1pA,2,>600k and <700k
lbmPBvt_kInQAAZO2x_m9Q,Not Available,>600k and <700k
Qt1YCdeB_3m7ejTRTJncRA,1,>600k and <700k
HnFvbCIjoZj2OeDuzOLtfg,1,>600k and <700k
NNJlcCRUNrEuxNWpmkSZrQ,1,>600k and <700k
Kp8-QGYC6cVwCFwHaedMlA,Not Available,>600k and <700k
4kpfWas8N7tgYT886b1aHQ,1,>600k and <700k
slIA99msqWoT9NU4cFAloQ,2,>600k and <700k
GthXUMEMZRQLq7Gfl4_ZFA,2,>600k and <700k
v_OyM7N9LSGZKUcmxR5HVA,1,>600k and <700k
Uwh85qGoPOQLkwLnIRGN9A,1,>600k and <700k
l0dKSB6sP-2D9Zd15WGZoA,2,>600k and <700k
IMsFtxD0TZzi2CkgxMCthg,3,>600k and <700k
Ohhrhu1RkqfVciIVx_W5HQ,2,>600k and <700k
fk_kTh-Gag4kfcI5j5GNzw,2,>600k and <700k
zG95r1ag8y_Vq3p77hwhsA,2,>600k and <700k
GVmcKu-F13wf1r-UX5rVGg,1,>600k and <700k
zZ95Esq9cHL76ZkgxrkvCA,1,>600k and <700k
fiPhR6xHH7fGJXVj-TrqZg,2,>600k and <700k
6JD3looWldt_PodbXKQJRQ,1,>600k and <700k
YkW51dD0Hzw1572XLzrV5w,1,>600k and <700k
Ptv4py9S1VNwMYaFlSi0qg,2,>600k and <700k
ecchfyTvjw18BpCvgm3xvA,1,>600k and <700k
u1d-vySfPE4tJ_BcPPIFqQ,2,>600k and <700k
RtxOaQrErHLZlzeEt5H9Ew,2,>600k and <700k
iJx2D_pT82l2INSCoTrnpA,1,>600k and <700k
KlYIH5Rt3lGHdAzsLF0qXA,2,>600k and <700k
k6HN0FE8NC8vV1sZuu0O4g,2,>600k and <700k
DopYaO_cC_gkIaEZS-iv5g,1,>600k and <700k
idZNYzVTbkLEWGOZh7p2yA,2,>600k and <700k
HBzb6XvjxqLoRkym7Bjoyg,2,>600k and <700k
WTgJhMAnJV6h5259ia3gXw,2,>600k and <700k
l0JS2Jwz3aOCaorGgRkO2Q,1,>600k and <700k
nskxD7aKod8bLAq7zSu6AQ,2,>600k and <700k
bhDu55-msqGQcT1bmgizsg,2,>600k and <700k
xNxpRhgGz1uuBCRHpXpTOQ,1,>600k and <700k
h3xjNaPNfNR5zUB7vJ-6Eg,2,>600k and <700k
wxZPr6u2_9j_t7-yRw7vNQ,2,>600k and <700k
PpO63wlRSMCo1JNHQdGNgw,2,>600k and <700k
Kl4hxlbMLQiEiT_UHXEElg,2,>600k and <700k
isxXZs7ag6f6HlusNi0VJQ,2,>600k and <700k
UwgZJyWiTM1-ZBgZbUN0jA,1,>600k and <700k
JwvTuQ5OKAlUrFXTIXzCVA,1,>600k and <700k
FqX2L1a2gJHYy8LRdW5V9Q,1,>600k and <700k
1-QGGa5uVNC5UvGaQzZviw,1,>600k and <700k
Vv_fMppcradfyzoM8dYIiQ,2,>600k and <700k
7fBAwjqazn3YmvX5ike91A,2,>600k and <700k
WkQDgSbr6jchHM_4HfaJYw,1,>600k and <700k
cpmSY4ByoeCmIIO43drEAg,1,>600k and <700k
QDWjbcMQZ34DNffkf_7dMQ,2,>600k and <700k
p8rMJJL0ZlJDO4gD7Ihb2Q,2,>600k and <700k
bDKwUCWN1Ndnxpo0A6b8Zg,1,>600k and <700k
Ato5j6h5TJnz17yAdTHToQ,1,>600k and <700k
epG4Af3r0FmfeQcp_I8D5A,1,>600k and <700k
bdiYe0P7O-77_TqY_ZwV7A,2,>600k and <700k
9BOA6P860Kk1_vBp4BreBA,2,>600k and <700k
OOj08QpM0T-YgNK0FEsC8Q,Not Available,>600k and <700k
EnOCgOH0J0XtvefhKnRyTw,2,>600k and <700k
rZ5me9UfAgY7jDcpLgQf8w,1,>600k and <700k
eyPUV7V8wL3N-bicBL4q-Q,1,>600k and <700k
sPYHX2jNZsg6JwjaukcLxQ,1,>600k and <700k
cGXqeQXG57mEspf2Jt3Qdg,3,>600k and <700k
ki42ILFo3Mw6J3B_x4otUQ,2,>600k and <700k
m9H3c66CCFEjJGZ6c3e1LA,1,>600k and <700k
wWnCSjzGWGsRIpmzY7xwZg,1,>600k and <700k
OqEAMG7DXLUVZRsw7H_R9w,1,>600k and <700k
H2KAvHOGz1wRHJoS-u4fpQ,1,>600k and <700k
CC5ZlDTTi2AfiRYoCNYLcg,2,>600k and <700k
wGOe_n7vwj0gfIWFloVIqQ,2,>600k and <700k
